s,kernel_g0.2,kernel_g0.4,kernel_g0.6,kernel_g0.8,kernel_g0.95
2.778514190317e-01,1.109682652742e+00,1.120789839684e+00,9.721194856512e-01,6.068165214128e-01,1.733844548775e-01
2.795191986644e-01,1.108355274168e+00,1.118110113854e+00,9.686351714420e-01,6.039182832162e-01,1.724015178434e-01
2.811869782972e-01,1.107037365668e+00,1.115452679414e+00,9.651839625364e-01,6.010510055525e-01,1.714299510160e-01
2.828547579299e-01,1.105728804107e+00,1.112817220359e+00,9.617653508212e-01,5.982141769767e-01,1.704695565937e-01
2.845225375626e-01,1.104429468665e+00,1.110203426993e+00,9.583788389183e-01,5.954072974430e-01,1.695201413555e-01
2.861903171953e-01,1.103139240782e+00,1.107610995764e+00,9.550239398960e-01,5.926298779851e-01,1.685815165286e-01
2.878580968280e-01,1.101858004099e+00,1.105039629114e+00,9.517001769911e-01,5.898814404085e-01,1.676534976609e-01
2.895258764608e-01,1.100585644409e+00,1.102489035321e+00,9.484070833384e-01,5.871615169919e-01,1.667359044979e-01
2.911936560935e-01,1.099322049602e+00,1.099958928354e+00,9.451442017099e-01,5.844696501996e-01,1.658285608639e-01
2.928614357262e-01,1.098067109615e+00,1.097449027728e+00,9.419110842622e-01,5.818053924024e-01,1.649312945462e-01
2.945292153589e-01,1.096820716384e+00,1.094959058370e+00,9.387072922913e-01,5.791683056089e-01,1.640439371850e-01
2.961969949917e-01,1.095582763799e+00,1.092488750480e+00,9.355323959964e-01,5.765579612041e-01,1.631663241652e-01
2.978647746244e-01,1.094353147651e+00,1.090037839404e+00,9.323859742495e-01,5.739739396978e-01,1.622982945132e-01
2.995325542571e-01,1.093131765597e+00,1.087606065506e+00,9.292676143735e-01,5.714158304804e-01,1.614396907959e-01
3.012003338898e-01,1.091918517107e+00,1.085193174046e+00,9.261769119267e-01,5.688832315867e-01,1.605903590244e-01
3.028681135225e-01,1.090713303430e+00,1.082798915063e+00,9.231134704938e-01,5.663757494675e-01,1.597501485593e-01
3.045358931553e-01,1.089516027546e+00,1.080423043255e+00,9.200769014834e-01,5.638929987678e-01,1.589189120207e-01
3.062036727880e-01,1.088326594132e+00,1.078065317872e+00,9.170668239321e-01,5.614346021130e-01,1.580965051994e-01
3.078714524207e-01,1.087144909520e+00,1.075725502605e+00,9.140828643140e-01,5.590001899009e-01,1.572827869729e-01
3.095392320534e-01,1.085970881662e+00,1.073403365481e+00,9.111246563559e-01,5.565894001008e-01,1.564776192221e-01
3.112070116861e-01,1.084804420089e+00,1.071098678761e+00,9.081918408591e-01,5.542018780583e-01,1.556808667522e-01
3.128747913189e-01,1.083645435882e+00,1.068811218840e+00,9.052840655247e-01,5.518372763069e-01,1.548923972154e-01
3.145425709516e-01,1.082493841630e+00,1.066540766150e+00,9.024009847860e-01,5.494952543848e-01,1.541120810362e-01
3.162103505843e-01,1.081349551405e+00,1.064287105067e+00,8.995422596447e-01,5.471754786572e-01,1.533397913388e-01
3.178781302170e-01,1.080212480721e+00,1.062050023819e+00,8.967075575118e-01,5.448776221448e-01,1.525754038771e-01
3.195459098497e-01,1.079082546508e+00,1.059829314398e+00,8.938965520544e-01,5.426013643564e-01,1.518187969670e-01
3.212136894825e-01,1.077959667078e+00,1.057624772475e+00,8.911089230453e-01,5.403463911277e-01,1.510698514203e-01
3.228814691152e-01,1.076843762095e+00,1.055436197314e+00,8.883443562184e-01,5.381123944637e-01,1.503284504806e-01
3.245492487479e-01,1.075734752551e+00,1.053263391691e+00,8.856025431272e-01,5.358990723872e-01,1.495944797620e-01
3.262170283806e-01,1.074632560728e+00,1.051106161817e+00,8.828831810080e-01,5.337061287905e-01,1.488678271889e-01
3.278848080134e-01,1.073537110180e+00,1.048964317258e+00,8.801859726469e-01,5.315332732920e-01,1.481483829376e-01
3.295525876461e-01,1.072448325697e+00,1.046837670863e+00,8.775106262501e-01,5.293802210974e-01,1.474360393800e-01
3.312203672788e-01,1.071366133288e+00,1.044726038690e+00,8.748568553187e-01,5.272466928644e-01,1.467306910292e-01
3.328881469115e-01,1.070290460148e+00,1.042629239933e+00,8.722243785263e-01,5.251324145716e-01,1.460322344858e-01
3.345559265442e-01,1.069221234635e+00,1.040547096857e+00,8.696129196002e-01,5.230371173908e-01,1.453405683869e-01
3.362237061770e-01,1.068158386249e+00,1.038479434729e+00,8.670222072062e-01,5.209605375637e-01,1.446555933558e-01
3.378914858097e-01,1.067101845603e+00,1.036426081752e+00,8.644519748360e-01,5.189024162815e-01,1.439772119534e-01
3.395592654424e-01,1.066051544406e+00,1.034386869003e+00,8.619019606986e-01,5.168624995684e-01,1.433053286315e-01
3.412270450751e-01,1.065007415433e+00,1.032361630368e+00,8.593719076135e-01,5.148405381676e-01,1.426398496866e-01
3.428948247078e-01,1.063969392511e+00,1.030350202486e+00,8.568615629081e-01,5.128362874319e-01,1.419806832158e-01
3.445626043406e-01,1.062937410492e+00,1.028352424690e+00,8.543706783167e-01,5.108495072156e-01,1.413277390733e-01
3.462303839733e-01,1.061911405235e+00,1.026368138944e+00,8.518990098829e-01,5.088799617714e-01,1.406809288289e-01
3.478981636060e-01,1.060891313585e+00,1.024397189795e+00,8.494463178647e-01,5.069274196481e-01,1.400401657270e-01
3.495659432387e-01,1.059877073351e+00,1.022439424314e+00,8.470123666418e-01,5.049916535931e-01,1.394053646473e-01
3.512337228715e-01,1.058868623292e+00,1.020494692044e+00,8.445969246253e-01,5.030724404559e-01,1.387764420660e-01
3.529015025042e-01,1.057865903092e+00,1.018562844950e+00,8.421997641700e-01,5.011695610956e-01,1.381533160188e-01
